Accounting; 58.00 70.00 81.00 89.00 97.00; 60.34 76.22 86.39 91.25 94.49
Aerospace Systems; 57.00 69.00 82.00 88.00 96.00; 50.87 69.13 83.78 88.37 92.71
Mathematical Methods; 63.00 73.00 84.00 92.00 98.00; 79.42 89.00 94.81 97.06 98.09
Specialist Mathematics; 67.00 79.00 88.00 93.00 98.00; 87.90 95.16 97.65 98.43 98.96
Agricultural Science; 64.00 72.00 79.00 84.00 90.00; 39.98 55.72 68.70 76.56 84.04
Ancient History; 57.00 69.00 80.00 89.00 98.00; 48.99 67.36 80.62 88.07 92.91
Biological Science; 69.00 78.00 86.00 92.00 97.00; 58.27 76.21 87.01 92.09 94.86
Business; 55.00 67.00 78.00 87.00 96.00; 49.27 65.03 77.13 84.59 89.93
Chemistry; 72.00 82.00 90.00 95.00 99.00; 73.69 89.10 95.06 97.05 98.06
Chinese; 79.00 89.00 94.00 97.00 100.00; 76.87 85.53 88.74 90.36 91.76
Chinese Extension; 88.00 93.00 95.00 97.00 99.00; 84.80 88.16 89.31 90.36 91.32
Dance; 70.00 82.00 90.00 95.00 100.00; 44.37 61.51 71.75 77.24 81.93
Design; 53.00 64.00 77.00 86.00 96.00; 47.08 60.84 75.02 82.58 88.73
Digital Solutions; 56.00 69.00 83.00 92.00 97.00; 57.95 76.25 88.87 93.48 95.21
Drama; 64.00 75.00 86.00 93.00 99.00; 47.09 64.13 78.23 84.85 89.13
Earth and Environmental Science; 69.00 75.00 82.00 88.00 93.00; 50.78 65.95 80.15 88.34 92.76
Economics; 65.00 75.00 86.00 92.00 97.00; 71.12 84.83 93.24 95.75 97.14
Engineering; 55.00 68.00 80.00 89.00 96.00; 62.17 80.67 90.80 94.95 96.88
English; 57.00 67.00 78.00 88.00 98.00; 54.70 70.65 83.73 91.12 95.34
English & Literature Extension; 77.00 86.00 94.00 98.00 100.00; 85.47 91.95 95.37 96.51 96.98
English as an Additional Language; 55.00 64.00 75.00 84.00 95.00; 51.54 66.78 81.39 89.21 94.73
Film Television and New Media; 60.00 72.00 84.00 92.00 99.00; 42.11 57.13 70.94 78.52 83.88
Food and Nutrition; 54.00 65.00 77.00 85.00 95.00; 44.79 59.40 73.57 81.04 87.96
French; 73.00 82.00 89.00 94.00 98.00; 86.45 93.80 96.73 97.95 98.59
General Mathematics; 56.00 65.00 74.00 82.00 92.00; 49.42 60.97 71.41 79.12 86.45
Geography; 53.00 64.00 75.00 85.00 94.00; 50.90 68.13 81.50 89.48 93.89
German; 72.00 81.00 89.00 95.00 99.00; 82.25 92.33 96.57 98.16 98.79
Health; 54.00 64.00 76.00 85.00 95.00; 46.40 59.53 73.53 81.74 88.38
Italian; 71.00 83.00 91.00 95.00 97.00; 80.23 91.32 95.21 96.46 96.97
Japanese; 65.00 77.00 89.00 95.00 99.00; 72.94 84.95 92.20 94.48 95.63
Korean; 82.00 89.00 93.00 97.00 99.00; 84.76 88.68 90.50 92.05 92.74
Legal Studies; 55.00 66.00 78.00 87.00 96.00; 53.49 68.56 81.42 88.09 92.58
Literature; 68.00 80.00 89.00 95.00 100.00; 72.31 86.89 93.02 95.50 96.91
Marine Science; 60.00 68.00 75.00 82.00 90.00; 43.90 59.30 71.51 81.22 88.95
Modern History; 62.00 73.00 84.00 91.00 98.00; 57.33 75.03 87.05 91.81 94.93
Music; 68.00 81.00 91.00 97.00 100.00; 56.49 75.92 86.19 90.38 92.02
Music Extension (Composition); 80.00 91.00 97.00 100.00 100.00;  69.81 82.56 87.49 89.48 89.48
Music Extension (Performance); 79.00 90.00 96.00 99.00 100.00; 64.63 80.63 86.71 89.09 89.80
Philosophy and Reason; 61.00 75.00 87.00 94.00 99.00; 61.00 75.00 87.00 94.00 99.00
Physical Education; 58.00 68.00 79.00 87.00 96.00; 46.58 60.62 74.20 81.92 88.31
Physics; 73.00 82.00 90.00 95.00 98.00; 75.20 89.11 95.19 97.17 97.95
Psychology; 69.00 77.00 85.00 90.00 95.00; 56.46 70.92 82.11 87.20 91.00
Spanish; 66.00 79.00 87.00 91.00 97.00; 77.14 91.42 95.58 96.85 98.12
Study of Religion; 63.00 73.00 84.00 91.00 98.00; 66.22 79.56 89.23 93.05 95.58
Vietnamese; 69.00 78.00 83.00 89.00 96.00; 67.84 77.21 81.51 85.81 89.73
Visual Art; 56.00 68.00 81.00 91.00 100.00; 47.24 62.45 76.49 84.50 89.66
